Id,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Electric,Fuel_Type_LPG,Fuel_Type_Petrol,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third,Mileage_Type_km/kg,Mileage_Type_kmpl,Transmission_Automatic,Transmission_Manual
53,2013,65650,28.4,1248.0,74.0,5.0,3.85,0,1,0,0,0,1,0,0,0,0,1,0,1
54,2015,54000,18.9,1197.0,82.0,5.0,3.6,0,0,0,0,1,0,0,0,1,0,1,0,1
55,2015,39000,15.04,1598.0,103.2,5.0,3.99,0,0,0,0,1,1,0,0,0,0,1,0,1
56,2017,16542,25.17,799.0,53.3,5.0,3.3,0,0,0,0,1,1,0,0,0,0,1,0,1
57,2010,32000,20.36,1197.0,78.9,5.0,2.07,0,0,0,0,1,1,0,0,0,0,1,0,1
58,2010,121812,13.29,1995.0,147.6,5.0,7.75,0,1,0,0,0,1,0,0,0,0,1,1,0
59,2010,39300,18.2,998.0,67.1,5.0,2.25,0,0,0,0,1,1,0,0,0,0,1,0,1
60,2017,22000,13.68,2393.0,147.8,8.0,16.5,0,1,0,0,0,1,0,0,0,0,1,0,1
61,2010,72000,20.0,1399.0,68.0,5.0,2.75,0,1,0,0,0,1,0,0,0,0,1,0,1
62,2015,58000,11.74,1796.0,186.0,5.0,26.7,0,0,0,0,1,1,0,0,0,0,1,1,0
63,2011,65000,15.8,2148.0,170.0,5.0,10.0,0,1,0,0,0,0,0,1,0,0,1,0,1
64,2016,178000,25.0,1396.0,69.0,5.0,2.5,0,1,0,0,0,1,0,0,0,0,1,0,1
65,2012,65664,16.55,1968.0,140.0,5.0,13.5,0,1,0,0,0,1,0,0,0,0,1,1,0
66,2007,63000,16.4,1497.0,78.0,5.0,1.85,0,0,0,0,1,0,0,1,0,0,1,1,0
67,2019,15369,0.0,1950.0,194.0,5.0,35.67,0,1,0,0,0,1,0,0,0,0,1,1,0
68,2016,63000,24.52,1248.0,88.5,7.0,8.15,0,1,0,0,0,1,0,0,0,0,1,0,1
69,2018,13000,22.1,1396.0,88.7,5.0,10.5,0,1,0,0,0,1,0,0,0,0,1,0,1
70,2008,73000,8.5,4806.0,500.0,5.0,14.5,0,0,0,0,1,1,0,0,0,0,1,1,0
71,2015,55729,15.1,2179.0,140.0,7.0,9.65,0,1,0,0,0,1,0,0,0,0,1,0,1
72,2012,45178,16.95,1197.0,78.9,5.0,3.48,0,0,0,0,1,1,0,0,0,0,1,1,0
73,2015,56066,19.64,1461.0,108.5,5.0,6.92,0,1,0,0,0,1,0,0,0,0,1,0,1
74,2016,37300,16.5,1198.0,86.8,5.0,6.46,0,0,0,0,1,0,0,1,0,0,1,1,0
75,2014,56000,18.53,1968.0,187.74,5.0,29.5,0,1,0,0,0,0,0,1,0,0,1,1,0
77,2006,230000,12.4,1998.0,132.0,8.0,4.5,0,0,0,0,1,0,0,0,1,0,1,0,1
78,2012,104000,12.8,2494.0,102.0,7.0,11.75,0,1,0,0,0,1,0,0,0,0,1,0,1
80,2012,95100,22.9,1248.0,74.0,5.0,3.75,0,1,0,0,0,1,0,0,0,0,1,0,1
81,2017,70000,17.57,1193.0,88.7,5.0,4.5,0,0,0,0,1,1,0,0,0,0,1,0,1
82,2016,54944,18.0,1198.0,86.7,5.0,4.82,0,0,0,0,1,1,0,0,0,0,1,0,1
83,2012,70337,20.0,1399.0,68.0,5.0,2.8,0,1,0,0,0,1,0,0,0,0,1,0,1
84,2013,99638,23.2,1248.0,73.94,5.0,3.11,0,1,0,0,0,1,0,0,0,0,1,0,1
85,2009,52000,17.8,1497.0,117.3,5.0,3.25,0,0,0,0,1,1,0,0,0,0,1,0,1
86,2011,75000,16.73,1995.0,218.0,5.0,13.9,0,1,0,0,0,0,0,1,0,0,1,1,0
87,2009,95980,20.36,1197.0,78.9,5.0,2.25,0,0,0,0,1,1,0,0,0,0,1,0,1
88,2016,16000,18.9,1197.0,82.0,5.0,5.75,0,0,0,0,1,1,0,0,0,0,1,0,1
90,2016,18949,17.8,1198.0,86.7,5.0,5.0,0,0,0,0,1,1,0,0,0,0,1,0,1
91,2014,107000,13.0,2982.0,168.5,7.0,16.5,0,1,0,0,0,1,0,0,0,0,1,0,1
92,2018,48367,17.68,1968.0,174.33,5.0,39.58,0,1,0,0,0,1,0,0,0,0,1,1,0
93,2013,57000,22.7,1498.0,89.84,5.0,5.5,0,1,0,0,0,1,0,0,0,0,1,0,1
94,2014,58000,15.1,2179.0,140.0,7.0,8.1,0,1,0,0,0,1,0,0,0,0,1,0,1
95,2015,30000,25.8,1498.0,98.6,5.0,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1
96,2013,34212,22.07,1199.0,73.9,5.0,2.79,0,1,0,0,0,1,0,0,0,0,1,0,1
97,2010,70002,16.2,1493.0,110.0,5.0,3.45,0,1,0,0,0,1,0,0,0,0,1,0,1
98,2016,62000,18.9,998.0,67.1,5.0,4.45,0,0,0,0,1,1,0,0,0,0,1,0,1
99,2010,62001,15.26,1598.0,103.5,5.0,2.65,0,0,0,0,1,1,0,0,0,0,1,0,1
100,2011,78958,23.0,1396.0,90.0,5.0,3.8,0,1,0,0,0,0,0,1,0,0,1,0,1
101,2014,30180,18.5,1197.0,82.85,5.0,4.65,0,0,0,0,1,1,0,0,0,0,1,0,1
102,2017,32851,19.83,1198.0,67.0,7.0,3.95,0,0,0,0,1,1,0,0,0,0,1,0,1
103,2010,30000,14.94,2967.0,241.4,5.0,9.8,0,1,0,0,0,1,0,0,0,0,1,1,0
104,2009,66000,17.0,1197.0,80.0,5.0,2.7,0,0,0,0,1,0,0,1,0,0,1,0,1
105,2010,93850,14.0,796.0,35.0,5.0,2.41,0,0,0,0,1,1,0,0,0,0,1,0,1
106,2014,53000,17.71,1197.0,78.9,5.0,3.9,0,0,0,0,1,1,0,0,0,0,1,0,1
107,2011,78000,14.74,2993.0,270.9,5.0,24.0,0,1,0,0,0,0,0,1,0,0,1,1,0
108,2012,65000,16.0,2179.0,140.0,7.0,5.75,0,1,0,0,0,0,0,1,0,0,1,0,1
109,2014,40000,22.32,1582.0,126.32,5.0,5.25,0,1,0,0,0,1,0,0,0,0,1,1,0
110,2017,30000,11.36,2755.0,171.5,7.0,19.25,0,1,0,0,0,1,0,0,0,0,1,1,0
111,2017,38053,15.1,1196.0,73.0,5.0,3.91,0,0,0,0,1,1,0,0,0,0,1,0,1
112,2014,25500,25.4,624.0,37.5,4.0,2.15,0,0,0,0,1,1,0,0,0,0,1,0,1
113,2015,56087,22.69,1995.0,190.0,5.0,20.75,0,1,0,0,0,1,0,0,0,0,1,1,0
114,2010,71088,13.5,1799.0,130.0,5.0,3.35,0,0,0,0,1,1,0,0,0,0,1,0,1
115,2014,55000,12.99,2494.0,100.6,7.0,11.11,0,1,0,0,0,1,0,0,0,0,1,0,1
116,2014,32700,23.3,1984.0,150.0,5.0,20.0,0,1,0,0,0,1,0,0,0,0,1,1,0
117,2016,39882,19.15,1198.0,75.94,5.0,6.55,0,0,0,0,1,1,0,0,0,0,1,1,0
118,2009,128000,10.8,2497.0,215.0,5.0,7.0,0,0,0,0,1,1,0,0,0,0,1,1,0
119,2016,55000,24.3,1248.0,88.5,5.0,7.5,0,1,0,0,0,1,0,0,0,0,1,0,1
121,2014,53753,15.0,2143.0,107.3,5.0,16.75,0,1,0,0,0,0,0,1,0,0,1,1,0
122,2018,10250,22.0,1582.0,126.2,5.0,10.95,0,1,0,0,0,1,0,0,0,0,1,0,1
123,2011,43874,18.9,998.0,67.1,5.0,2.45,0,0,0,0,1,1,0,0,0,0,1,0,1
124,2017,32684,21.9,624.0,37.48,4.0,3.23,0,0,0,0,1,1,0,0,0,0,1,1,0
125,2014,42000,12.05,2179.0,120.0,8.0,7.75,0,1,0,0,0,1,0,0,0,0,1,0,1
126,2009,28352,11.7,1796.0,178.0,5.0,9.35,0,0,0,0,1,1,0,0,0,0,1,1,0
127,2013,89900,26.6,998.0,58.16,5.0,3.25,1,0,0,0,0,1,0,0,0,1,0,0,1
128,2007,47700,10.8,2354.0,152.0,5.0,5.25,0,0,0,0,1,0,0,1,0,0,1,0,1
129,2015,55000,21.21,1498.0,103.2,5.0,7.25,0,1,0,0,0,1,0,0,0,0,1,1,0
130,2017,44285,20.73,1373.0,91.1,5.0,7.47,0,0,0,0,1,1,0,0,0,0,1,0,1
131,2016,54000,16.0,2179.0,140.0,7.0,13.25,0,1,0,0,0,1,0,0,0,0,1,1,0
132,2016,30232,21.1,1197.0,85.8,5.0,5.81,0,0,0,0,1,1,0,0,0,0,1,0,1
133,2014,88500,24.07,998.0,67.1,5.0,2.6,0,0,0,0,1,1,0,0,0,0,1,0,1
134,2017,13372,19.0,2996.0,362.07,2.0,54.0,0,0,0,0,1,1,0,0,0,0,1,1,0
135,2019,12645,17.0,1591.0,121.3,5.0,11.5,0,0,0,0,1,1,0,0,0,0,1,1,0
136,2010,94385,19.7,796.0,46.3,5.0,1.6,0,0,0,0,1,0,0,1,0,0,1,0,1
137,2015,31821,20.58,1995.0,143.0,5.0,17.22,0,1,0,0,0,1,0,0,0,0,1,1,0
138,2015,12000,19.0,1199.0,88.7,5.0,6.0,0,0,0,0,1,1,0,0,0,0,1,1,0
139,2012,88578,13.5,1799.0,130.0,5.0,3.95,0,0,0,0,1,1,0,0,0,0,1,0,1
140,2014,44965,19.27,2143.0,170.0,5.0,17.95,0,1,0,0,0,1,0,0,0,0,1,1,0
141,2014,45044,25.8,1498.0,98.6,5.0,3.7,0,1,0,0,0,1,0,0,0,0,1,0,1
142,2016,34204,22.0,1197.0,81.8,5.0,5.43,0,0,0,0,1,1,0,0,0,0,1,0,1
144,2012,91235,11.5,2982.0,171.0,7.0,13.49,0,1,0,0,0,1,0,0,0,0,1,0,1
145,2014,38800,18.6,1199.0,76.8,5.0,2.85,0,0,0,0,1,1,0,0,0,0,1,0,1
146,2013,83000,21.14,1498.0,103.52,5.0,4.75,0,1,0,0,0,1,0,0,0,0,1,0,1
147,2018,41283,20.73,1373.0,91.1,5.0,9.9,0,0,0,0,1,1,0,0,0,0,1,0,1
148,2013,23000,11.05,2894.0,444.0,4.0,37.0,0,0,0,0,1,1,0,0,0,0,1,1,0
149,2014,48000,21.76,1995.0,190.0,5.0,26.5,0,1,0,0,0,1,0,0,0,0,1,1,0
150,2015,48214,17.11,1968.0,174.33,5.0,23.32,0,1,0,0,0,1,0,0,0,0,1,1,0
151,2016,35000,22.9,1248.0,74.0,5.0,6.25,0,1,0,0,0,1,0,0,0,0,1,0,1
152,2010,35277,7.81,5461.0,362.9,5.0,30.0,0,0,0,0,1,1,0,0,0,0,1,1,0
153,2016,54620,21.66,1498.0,103.52,5.0,9.86,0,1,0,0,0,1,0,0,0,0,1,1,0
154,2012,136997,17.2,1968.0,138.1,5.0,8.5,0,1,0,0,0,1,0,0,0,0,1,1,0
155,2019,14322,21.1,814.0,55.2,5.0,4.23,0,0,0,0,1,1,0,0,0,0,1,0,1
156,2012,65634,22.07,1199.0,73.9,5.0,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1
157,2016,6000,20.63,1198.0,67.06,5.0,2.5,0,0,0,0,1,1,0,0,0,0,1,0,1
158,2013,33280,19.4,1198.0,86.8,5.0,2.39,0,0,0,0,1,1,0,0,0,0,1,0,1
159,2013,29000,14.8,1595.0,120.7,5.0,11.25,0,0,0,0,1,1,0,0,0,0,1,1,0
160,2015,42831,26.0,1498.0,98.6,5.0,7.11,0,1,0,0,0,1,0,0,0,0,1,0,1
161,2016,90000,12.99,2494.0,100.6,7.0,10.9,0,1,0,0,0,1,0,0,0,0,1,0,1
162,2017,24005,20.4,1197.0,81.8,5.0,6.2,0,0,0,0,1,1,0,0,0,0,1,0,1
163,2012,32792,15.1,2179.0,140.0,7.0,7.9,0,1,0,0,0,1,0,0,0,0,1,0,1
164,2014,147898,22.7,1498.0,89.84,5.0,4.42,0,1,0,0,0,1,0,0,0,0,1,0,1
165,2012,131765,13.0,2982.0,168.5,7.0,13.5,0,1,0,0,0,1,0,0,0,0,1,0,1
166,2013,65000,21.5,1498.0,108.5,5.0,6.25,0,1,0,0,0,1,0,0,0,0,1,1,0
167,2010,66123,20.0,1399.0,68.0,5.0,2.1,0,1,0,0,0,0,0,1,0,0,1,0,1
168,2015,41000,15.3,2993.0,258.0,5.0,45.0,0,1,0,0,0,1,0,0,0,0,1,1,0
169,2017,23550,19.27,2143.0,167.62,5.0,33.66,0,1,0,0,0,1,0,0,0,0,1,1,0
170,2012,45000,19.4,1198.0,86.8,5.0,3.65,0,0,0,0,1,0,0,1,0,0,1,0,1
171,2013,60000,20.36,1197.0,78.9,5.0,2.75,0,0,0,0,1,1,0,0,0,0,1,0,1
172,2016,44414,17.9,2143.0,170.0,5.0,42.5,0,1,0,0,0,1,0,0,0,0,1,1,0
173,2019,1000,18.9,1197.0,81.86,5.0,6.5,0,0,0,0,1,1,0,0,0,0,1,0,1
174,2012,62500,17.68,1968.0,174.33,5.0,19.0,0,1,0,0,0,0,0,1,0,0,1,1,0
175,2013,21000,14.4,1598.0,103.6,5.0,4.45,0,0,0,0,1,0,0,1,0,0,1,1,0
176,2017,8525,16.6,1998.0,112.0,5.0,23.0,0,1,0,0,0,0,0,1,0,0,1,1,0
177,2014,29000,22.54,1396.0,88.73,5.0,8.35,0,1,0,0,0,1,0,0,0,0,1,0,1
178,2014,40000,17.68,1968.0,174.33,5.0,22.95,0,1,0,0,0,1,0,0,0,0,1,1,0
179,2012,88000,25.44,936.0,57.6,5.0,1.5,0,1,0,0,0,1,0,0,0,0,1,0,1
180,2012,53537,13.7,1798.0,157.75,5.0,6.89,0,0,0,0,1,1,0,0,0,0,1,1,0
181,2006,216000,17.8,1399.0,68.0,5.0,1.45,0,1,0,0,0,0,0,1,0,0,1,0,1
182,2014,51000,22.48,1995.0,190.0,5.0,33.5,0,1,0,0,0,1,0,0,0,0,1,1,0
183,2007,118500,12.9,1598.0,102.5,5.0,1.25,0,0,0,0,1,1,0,0,0,0,1,0,1
184,2012,63000,22.07,1199.0,73.9,5.0,4.2,0,1,0,0,0,1,0,0,0,0,1,0,1
185,2015,25000,19.98,1461.0,108.5,8.0,6.75,0,1,0,0,0,1,0,0,0,0,1,0,1
186,2014,37382,13.0,2143.0,201.1,5.0,32.0,0,1,0,0,0,1,0,0,0,0,1,1,0
187,2017,24773,21.4,1197.0,83.1,5.0,7.5,0,0,0,0,1,1,0,0,0,0,1,0,1
188,2012,62000,22.32,1582.0,126.32,5.0,4.6,0,1,0,0,0,1,0,0,0,0,1,0,1
189,2017,52340,19.81,1086.0,68.05,5.0,4.04,0,0,0,0,1,1,0,0,0,0,1,0,1
190,2016,56739,15.4,1997.0,120.0,7.0,10.31,0,1,0,0,0,1,0,0,0,0,1,0,1
191,2018,36091,12.7,2179.0,187.7,5.0,55.76,0,1,0,0,0,1,0,0,0,0,1,1,0
192,2010,120000,20.0,1399.0,68.0,5.0,2.6,0,1,0,0,0,1,0,0,0,0,1,0,1
193,2016,33000,25.47,1248.0,88.5,7.0,8.5,0,1,0,0,0,1,0,0,0,0,1,0,1
195,2014,52000,25.8,1498.0,98.6,5.0,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1
196,2015,43571,20.36,1197.0,78.9,5.0,3.55,0,0,0,0,1,1,0,0,0,0,1,0,1
197,2013,50000,25.8,1498.0,98.6,5.0,3.25,0,1,0,0,0,1,0,0,0,0,1,0,1
198,2008,113000,17.5,1896.0,106.0,5.0,4.5,0,1,0,0,0,1,0,0,0,0,1,0,1
199,2014,90000,19.87,1461.0,83.8,5.0,5.35,0,1,0,0,0,1,0,0,0,0,1,0,1
200,2017,29000,17.45,1493.0,100.0,7.0,6.5,0,1,0,0,0,0,0,1,0,0,1,0,1
201,2016,20000,24.3,1248.0,88.5,5.0,9.0,0,1,0,0,0,1,0,0,0,0,1,0,1
202,2016,61012,18.6,1197.0,81.83,5.0,6.0,0,0,0,0,1,1,0,0,0,0,1,0,1
203,2009,87459,14.7,1390.0,85.0,5.0,2.75,0,0,0,0,1,1,0,0,0,0,1,0,1
204,2010,70500,15.64,1193.0,64.1,5.0,1.5,0,0,0,0,1,1,0,0,0,0,1,0,1
205,2015,64103,15.73,1968.0,174.33,5.0,19.9,0,1,0,0,0,1,0,0,0,0,1,1,0
206,2014,76000,14.7,1798.0,177.5,5.0,10.0,0,0,0,0,1,1,0,0,0,0,1,1,0
207,2014,104000,23.59,1364.0,67.06,5.0,3.0,0,1,0,0,0,1,0,0,0,0,1,0,1
209,2014,37245,14.8,1595.0,120.7,5.0,11.96,0,0,0,0,1,1,0,0,0,0,1,1,0
210,2013,45000,27.4,1498.0,98.6,5.0,3.25,0,1,0,0,0,1,0,0,0,0,1,0,1
211,2012,117837,22.32,1582.0,126.32,5.0,4.75,0,1,0,0,0,0,0,1,0,0,1,0,1
212,2014,30000,20.46,1461.0,83.8,5.0,5.95,0,1,0,0,0,1,0,0,0,0,1,0,1
213,2015,27057,15.29,1591.0,121.3,5.0,8.15,0,0,0,0,1,0,0,1,0,0,1,0,1
214,2016,8500,20.51,998.0,67.0,5.0,4.22,0,0,0,0,1,1,0,0,0,0,1,1,0
215,2010,30500,11.74,1796.0,186.0,5.0,10.5,0,0,0,0,1,1,0,0,0,0,1,1,0
216,2012,56000,11.8,2967.0,246.7,5.0,45.0,0,1,0,0,0,1,0,0,0,0,1,1,0
217,2012,44000,19.81,1086.0,68.05,5.0,2.9,0,0,0,0,1,0,0,1,0,0,1,0,1
218,2017,10500,14.3,1598.0,103.52,5.0,8.9,0,0,0,0,1,1,0,0,0,0,1,1,0
219,2017,26000,14.67,1798.0,177.46,5.0,26.0,0,0,0,0,1,1,0,0,0,0,1,1,0
220,2018,25166,17.19,1197.0,81.86,5.0,8.22,0,0,0,0,1,1,0,0,0,0,1,0,1
221,2014,64000,25.8,1498.0,98.6,5.0,3.5,0,1,0,0,0,0,0,1,0,0,1,0,1
222,2004,61000,18.9,998.0,67.1,5.0,1.25,0,0,0,0,1,0,0,1,0,0,1,0,1
223,2013,107000,21.03,1461.0,65.0,5.0,3.7,0,1,0,0,0,1,0,0,0,0,1,0,1
224,2018,29161,19.27,2143.0,167.62,5.0,39.41,0,1,0,0,0,1,0,0,0,0,1,1,0
225,2013,32000,22.5,998.0,67.04,5.0,2.65,0,0,0,0,1,1,0,0,0,0,1,0,1
226,2015,46173,19.01,1461.0,108.5,5.0,8.92,0,1,0,0,0,0,0,1,0,0,1,0,1
228,2017,26327,16.82,1998.0,189.08,4.0,35.67,0,0,0,0,1,1,0,0,0,0,1,1,0
229,2015,70436,0.0,1498.0,99.0,2.0,3.6,0,1,0,0,0,1,0,0,0,0,1,0,1
230,2007,200000,17.2,1396.0,53.5,5.0,0.85,0,1,0,0,0,0,0,1,0,0,1,0,1
231,2016,60813,18.6,1199.0,76.8,5.0,3.32,0,0,0,0,1,0,0,1,0,0,1,0,1
232,2012,45000,22.07,1199.0,73.9,5.0,3.6,0,1,0,0,0,1,0,0,0,0,1,0,1
233,2016,64000,22.9,1248.0,74.0,5.0,6.8,0,1,0,0,0,1,0,0,0,0,1,0,1
234,2012,41284,20.0,1399.0,68.05,5.0,2.5,0,1,0,0,0,1,0,0,0,0,1,0,1
235,2019,14165,11.36,2755.0,171.5,7.0,19.64,0,1,0,0,0,1,0,0,0,0,1,1,0
236,2011,67000,11.72,2199.0,194.3,7.0,7.0,0,1,0,0,0,0,0,1,0,0,1,1,0
237,2011,32572,17.4,1497.0,117.3,5.0,3.87,0,0,0,0,1,1,0,0,0,0,1,0,1
238,2018,14960,18.6,1197.0,81.83,5.0,6.27,0,0,0,0,1,1,0,0,0,0,1,0,1
239,2015,55980,19.27,2143.0,167.62,5.0,18.12,0,1,0,0,0,1,0,0,0,0,1,1,0
240,2013,74000,25.44,936.0,57.6,5.0,2.65,0,1,0,0,0,1,0,0,0,0,1,0,1
241,2015,56847,22.54,1396.0,88.73,5.0,7.2,0,1,0,0,0,1,0,0,0,0,1,0,1
242,2015,121374,12.99,2494.0,100.6,7.0,14.3,0,1,0,0,0,1,0,0,0,0,1,0,1
243,2013,52000,20.77,1248.0,88.76,7.0,6.9,0,1,0,0,0,1,0,0,0,0,1,0,1
244,2014,118000,12.8,2494.0,102.0,7.0,10.75,0,1,0,0,0,1,0,0,0,0,1,0,1
246,2016,33915,17.8,1497.0,117.3,5.0,8.09,0,0,0,0,1,1,0,0,0,0,1,0,1
247,2014,82002,17.05,1995.0,184.0,5.0,18.5,0,1,0,0,0,1,0,0,0,0,1,1,0
248,2017,33000,24.0,1120.0,70.0,5.0,4.75,0,1,0,0,0,1,0,0,0,0,1,0,1
249,2016,34000,28.09,1248.0,88.5,5.0,8.45,0,1,0,0,0,1,0,0,0,0,1,0,1
250,2012,55000,20.5,1598.0,103.6,5.0,3.5,0,1,0,0,0,1,0,0,0,0,1,0,1
251,2006,160538,13.1,1493.0,82.0,5.0,1.8,0,1,0,0,0,1,0,0,0,0,1,0,1
252,2014,60000,19.91,1498.0,103.6,5.0,3.7,0,1,0,0,0,0,0,1,0,0,1,0,1
253,2017,49575,18.7,1199.0,88.7,5.0,7.17,0,0,0,0,1,1,0,0,0,0,1,0,1
254,2010,83000,19.81,1086.0,68.05,5.0,1.75,0,0,0,0,1,1,0,0,0,0,1,0,1
255,2018,51346,16.38,1995.0,183.0,5.0,21.99,0,1,0,0,0,1,0,0,0,0,1,1,0
256,2017,43000,13.68,2393.0,147.8,7.0,18.65,0,1,0,0,0,1,0,0,0,0,1,0,1
